食品番号,索引番号,食品名,エネルギー（Kcal）,タンパク質,脂質,炭水化物
06142,622,（だいこん類） 漬物 みそ漬,52.0,2.1,0.3,11.4
06143,623,（だいこん類） 漬物 福神漬,137.0,2.7,0.1,33.3
06144,624,（たいさい類） つまみな 葉 生,19.0,1.9,0.3,3.6
06145,625,（たいさい類） たいさい 葉 生,15.0,0.9,0.1,3.5
06146,626,（たいさい類） たいさい 塩漬,19.0,1.6,0.1,4.3
06147,627,たかな 葉 生,21.0,1.8,0.2,4.2
06148,628,たかな たかな漬,30.0,1.9,0.6,6.2
06149,629,たけのこ 若茎 生,27.0,3.6,0.2,4.3
06150,630,たけのこ 若茎 ゆで,31.0,3.5,0.2,5.5
06151,631,たけのこ 水煮缶詰,22.0,2.7,0.2,4.0
06152,632,たけのこ めんま 塩蔵 塩抜き,15.0,1.0,0.5,3.6
06153,633,（たまねぎ類） たまねぎ りん茎 生,33.0,1.0,0.1,8.4
06154,634,（たまねぎ類） たまねぎ りん茎 水さらし,24.0,0.6,0.1,6.1
06155,635,（たまねぎ類） たまねぎ りん茎 ゆで,30.0,0.8,0.1,7.3
06336,636,（たまねぎ類） たまねぎ りん茎 油いため,100.0,1.4,5.9,12.0
06389,637,（たまねぎ類） たまねぎ りん茎 油いため （あめ色たまねぎ）,208.0,3.2,6.8,34.1
06156,638,（たまねぎ類） 赤たまねぎ りん茎 生,34.0,0.9,0.1,9.0
06337,639,（たまねぎ類） 葉たまねぎ りん茎及び葉 生,33.0,1.8,0.4,7.6
06157,640,たらのめ 若芽 生,27.0,4.2,0.2,4.3
06158,641,たらのめ 若芽 ゆで,27.0,4.0,0.2,4.1
06159,642,チコリ 若芽 生,17.0,1.0,0.0,3.9
06376,643,ちぢみゆきな 葉 生,35.0,3.6,0.6,5.7
06377,644,ちぢみゆきな 葉 ゆで,34.0,3.8,0.7,5.2
06160,645,チンゲンサイ 葉 生,9.0,0.6,0.1,2.0
06161,646,チンゲンサイ 葉 ゆで,11.0,0.9,0.1,2.4
06338,647,チンゲンサイ 葉 油いため,36.0,0.8,3.2,2.2
06162,648,つくし 胞子茎 生,31.0,3.5,0.1,8.1
06163,649,つくし 胞子茎 ゆで,28.0,3.4,0.1,6.7
06164,650,つるな 茎葉 生,15.0,1.8,0.1,2.8
06390,651,つるにんじん 根 生,55.0,1.0,0.7,19.8
06165,652,つるむらさき 茎葉 生,11.0,0.7,0.2,2.6
06166,653,つるむらさき 茎葉 ゆで,12.0,0.9,0.2,3.2
06167,654,つわぶき 葉柄 生,19.0,0.4,0.0,5.6
06168,655,つわぶき 葉柄 ゆで,14.0,0.3,0.0,4.4
06169,656,とうがらし 葉･果実 生,32.0,3.4,0.1,7.2
06170,657,とうがらし 葉･果実 油いため,81.0,4.0,4.9,8.5
06171,658,とうがらし 果実 生,72.0,3.9,3.4,16.3
06172,659,とうがらし 果実 乾,270.0,14.7,12.0,58.4
06173,660,とうがん 果実 生,15.0,0.5,0.1,3.8
06174,661,とうがん 果実 ゆで,15.0,0.6,0.1,3.7
06175,662,（とうもろこし類） スイートコーン 未熟種子 生,89.0,3.6,1.7,16.8
06176,663,（とうもろこし類） スイートコーン 未熟種子 ゆで,95.0,3.5,1.7,18.6
06339,664,（とうもろこし類） スイートコーン 未熟種子 電子レンジ調理,104.0,4.2,2.2,19.1
06177,665,（とうもろこし類） スイートコーン 未熟種子 穂軸つき 冷凍,96.0,3.5,1.5,18.7
06178,666,（とうもろこし類） スイートコーン 未熟種子 カーネル 冷凍,91.0,2.9,1.3,19.8
06378,667,（とうもろこし類） スイートコーン 未熟種子 カーネル 冷凍 ゆで,92.0,2.8,1.5,18.7
06379,668,（とうもろこし類） スイートコーン 未熟種子 カーネル 冷凍 油いため,125.0,2.9,5.8,18.9
06179,669,（とうもろこし類） スイートコーン 缶詰 クリームスタイル,82.0,1.7,0.5,18.6
06180,670,（とうもろこし類） スイートコーン 缶詰 ホールカーネルスタイル,78.0,2.3,0.5,17.8
06181,671,（とうもろこし類） ヤングコーン 幼雌穂 生,29.0,2.3,0.2,6.0
06182,672,（トマト類） 赤色トマト 果実 生,20.0,0.7,0.1,4.7
06183,673,（トマト類） 赤色ミニトマト 果実 生,30.0,1.1,0.1,7.2
06391,674,（トマト類） 黄色トマト 果実 生,18.0,1.1,0.4,3.2
06370,675,（トマト類） ドライトマト,291.0,14.2,2.1,67.3
06184,676,（トマト類） 加工品 ホール 食塩無添加,21.0,0.9,0.2,4.4
06185,677,（トマト類） 加工品 トマトジュース 食塩添加,15.0,0.7,0.1,4.0
06340,678,（トマト類） 加工品 トマトジュース 食塩無添加,18.0,0.7,0.1,4.0
06186,679,（トマト類） 加工品 ミックスジュース 食塩添加,18.0,0.6,0.0,4.3
06341,680,（トマト類） 加工品 ミックスジュース 食塩無添加,18.0,0.6,0.0,4.3
06187,681,トレビス 葉 生,17.0,1.1,0.2,3.9
06188,682,とんぶり ゆで,89.0,6.1,3.5,12.9
06189,683,ながさきはくさい 葉 生,12.0,1.3,0.1,2.6
06190,684,ながさきはくさい 葉 ゆで,18.0,2.2,0.1,3.4
06191,685,（なす類） なす 果実 生,18.0,1.1,0.1,5.1
06192,686,（なす類） なす 果実 ゆで,17.0,1.0,0.1,4.5
06342,687,（なす類） なす 果実 油いため,73.0,1.5,5.8,6.3
06343,688,（なす類） なす 果実 天ぷら,165.0,1.6,14.0,12.0
06193,689,（なす類） べいなす 果実 生,20.0,1.1,0.1,5.3
06194,690,（なす類） べいなす 果実 素揚げ,177.0,1.0,17.0,6.7
06195,691,（なす類） 漬物 塩漬,22.0,1.4,0.1,5.2
06196,692,（なす類） 漬物 ぬかみそ漬,27.0,1.7,0.1,6.1
06197,693,（なす類） 漬物 こうじ漬,87.0,5.5,0.1,18.2
06198,694,（なす類） 漬物 からし漬,127.0,2.6,0.2,30.7
06199,695,（なす類） 漬物 しば漬,27.0,1.4,0.2,7.0
06200,696,なずな 葉 生,35.0,4.3,0.1,7.0
06201,697,（なばな類） 和種なばな 花らい・茎 生,34.0,4.4,0.2,5.8
06202,698,（なばな類） 和種なばな 花らい・茎 ゆで,28.0,4.7,0.1,4.3
06203,699,（なばな類） 洋種なばな 茎葉 生,36.0,4.1,0.4,6.0
06204,700,（なばな類） 洋種なばな 茎葉 ゆで,30.0,3.6,0.4,5.3
06205,701,にがうり 果実 生,15.0,1.0,0.1,3.9
06206,702,にがうり 果実 油いため,47.0,1.2,3.3,4.6
06207,703,（にら類） にら 葉 生,18.0,1.7,0.3,4.0
06208,704,（にら類） にら 葉 ゆで,27.0,2.6,0.5,5.7
06344,705,（にら類） にら 葉 油いため,69.0,1.9,5.7,4.9
06209,706,（にら類） 花にら 花茎・花らい 生,27.0,1.9,0.2,5.9
06210,707,（にら類） 黄にら 葉 生,18.0,2.1,0.1,3.3
06211,708,（にんじん類） 葉にんじん 葉 生,16.0,1.1,0.2,3.7
06212,709,（にんじん類） にんじん 根 皮つき 生,35.0,0.7,0.2,9.3
06213,710,（にんじん類） にんじん 根 皮つき ゆで,29.0,0.6,0.2,8.4
06214,711,（にんじん類） にんじん 根 皮なし 生,30.0,0.8,0.1,8.7
06215,712,（にんじん類） にんじん 根 皮なし ゆで,28.0,0.7,0.1,8.5
06345,713,（にんじん類） にんじん 根 皮なし 油いため,103.0,1.1,6.4,12.4
06346,714,（にんじん類） にんじん 根 皮なし 素揚げ,87.0,1.0,3.5,13.9
06347,715,（にんじん類） にんじん 根 皮 生,26.0,0.7,0.2,7.3
06216,716,（にんじん類） にんじん 根 冷凍,30.0,0.8,0.2,8.2
06380,717,（にんじん類） にんじん 根 冷凍 ゆで,24.0,0.7,0.2,7.0
06381,718,（にんじん類） にんじん 根 冷凍 油いため,65.0,0.9,4.0,9.3
06348,719,（にんじん類） にんじん グラッセ,53.0,0.7,1.4,12.7
06217,720,（にんじん類） にんじん ジュース 缶詰,29.0,0.6,0.1,6.7
06218,721,（にんじん類） きんとき 根 皮つき 生,39.0,1.8,0.2,9.6
06219,722,（にんじん類） きんとき 根 皮つき ゆで,37.0,1.9,0.2,9.2
06220,723,（にんじん類） きんとき 根 皮なし 生,40.0,1.8,0.3,9.7
06221,724,（にんじん類） きんとき 根 皮なし ゆで,40.0,1.9,0.4,9.6
06222,725,（にんじん類） ミニキャロット 根 生,26.0,0.7,0.2,7.5
06223,726,（にんにく類） にんにく りん茎 生,129.0,6.4,0.9,27.5
06349,727,（にんにく類） にんにく りん茎 油いため,191.0,8.2,5.9,30.6
06224,728,（にんにく類） 茎にんにく 花茎 生,44.0,1.9,0.3,10.6
06225,729,（にんにく類） 茎にんにく 花茎 ゆで,43.0,1.7,0.2,10.7
06226,730,（ねぎ類） 根深ねぎ 葉 軟白 生,35.0,1.4,0.1,8.3
06350,731,（ねぎ類） 根深ねぎ 葉 軟白 ゆで,28.0,1.3,0.1,6.8
06351,732,（ねぎ類） 根深ねぎ 葉 軟白 油いため,77.0,1.6,4.4,9.5
06227,733,（ねぎ類） 葉ねぎ 葉 生,29.0,1.9,0.3,6.5
06352,734,（ねぎ類） 葉ねぎ 葉 油いため,77.0,2.1,5.2,7.9
06228,735,（ねぎ類） こねぎ 葉 生,26.0,2.0,0.3,5.4
06229,736,のざわな 葉 生,14.0,0.9,0.1,3.5
06230,737,のざわな 漬物 塩漬,17.0,1.2,0.1,4.1
06231,738,のざわな 漬物 調味漬,22.0,1.7,0.0,5.4
06232,739,のびる りん茎葉 生,63.0,3.2,0.2,15.5
06233,740,はくさい 結球葉 生,13.0,0.8,0.1,3.2
06234,741,はくさい 結球葉 ゆで,13.0,0.9,0.1,2.9
06235,742,はくさい 漬物 塩漬,17.0,1.5,0.1,3.3
06236,743,はくさい 漬物 キムチ,27.0,2.3,0.1,5.4
06237,744,パクチョイ 葉 生,15.0,1.6,0.2,2.7
06238,745,バジル 葉 生,21.0,2.0,0.6,4.0
06239,746,パセリ 葉 生,34.0,4.0,0.7,7.8
06240,747,はつかだいこん 根 生,13.0,0.8,0.1,3.1
06392,748,はなっこりー 生,34.0,3.6,0.5,5.4
06241,749,はやとうり 果実 白色種 生,20.0,0.6,0.1,4.9
06242,750,はやとうり 果実 白色種 塩漬,17.0,0.6,0.0,4.4
06353,751,はやとうり 果実 緑色種 生,21.0,0.6,0.1,4.9
06243,752,ビーツ 根 生,38.0,1.6,0.1,9.3
06244,753,ビーツ 根 ゆで,42.0,1.5,0.1,10.2
06245,754,（ピーマン類） 青ピーマン 果実 生,20.0,0.9,0.2,5.1
06246,755,（ピーマン類） 青ピーマン 果実 油いため,54.0,0.9,4.3,5.4
06247,756,（ピーマン類） 赤ピーマン 果実 生,28.0,1.0,0.2,7.2
06248,757,（ピーマン類） 赤ピーマン 果実 油いため,69.0,1.0,4.3,7.6
06393,758,（ピーマン類） オレンジピーマン 果実 生,19.0,0.9,0.3,4.2
06394,759,（ピーマン類） オレンジピーマン 果実 油いため,81.0,1.1,5.1,7.6
06249,760,（ピーマン類） 黄ピーマン 果実 生,28.0,0.8,0.2,6.6
06250,761,（ピーマン類） 黄ピーマン 果実 油いため,61.0,0.8,4.3,6.9
06251,762,（ピーマン類） トマピー 果実 生,33.0,1.0,0.2,7.5
06252,763,ひのな 根・茎葉 生,17.0,1.0,0.0,4.7
06253,764,ひのな 根・茎葉 甘酢漬,70.0,1.4,0.5,17.3
06254,765,ひろしまな 葉 生,19.0,1.5,0.2,4.2
06255,766,ひろしまな 塩漬,15.0,1.2,0.2,3.3
06256,767,（ふき類） ふき 葉柄 生,11.0,0.3,0.0,3.0
06257,768,（ふき類） ふき 葉柄 ゆで,7.0,0.3,0.0,1.9
06258,769,（ふき類） ふきのとう 花序 生,38.0,2.5,0.1,10.0
06259,770,（ふき類） ふきのとう 花序 ゆで,31.0,2.5,0.1,7.0
06260,771,ふじまめ 若ざや 生,32.0,2.5,0.1,7.4
06261,772,ふだんそう 葉 生,17.0,2.0,0.1,3.7
06262,773,ふだんそう 葉 ゆで,26.0,2.8,0.1,5.4
06263,774,ブロッコリー 花序 生,37.0,5.4,0.6,6.6
06264,775,ブロッコリー 花序 ゆで,30.0,3.9,0.4,5.2
06395,776,ブロッコリー 花序 電子レンジ調理,56.0,5.7,0.7,7.0
06396,777,ブロッコリー 花序 焼き,83.0,9.9,1.2,8.4
06397,778,ブロッコリー 花序 油いため,109.0,6.9,6.3,6.1
06354,779,ブロッコリー 芽ばえ 生,18.0,1.9,0.6,2.6
06265,780,へちま 果実 生,17.0,0.8,0.1,3.8
06266,781,へちま 果実 ゆで,19.0,1.6,0.1,3.7
06267,782,ほうれんそう 葉 通年平均 生,18.0,2.2,0.4,3.1
06268,783,ほうれんそう 葉 通年平均 ゆで,23.0,2.6,0.5,4.0
06359,784,ほうれんそう 葉 通年平均 油いため,91.0,3.8,8.1,4.4
06355,785,ほうれんそう 葉 夏採り 生,18.0,2.2,0.4,3.1
06357,786,ほうれんそう 葉 夏採り ゆで,23.0,2.6,0.5,4.0
06356,787,ほうれんそう 葉 冬採り 生,18.0,2.2,0.4,3.1
06358,788,ほうれんそう 葉 冬採り ゆで,23.0,2.6,0.5,4.0
06269,789,ほうれんそう 葉 冷凍,22.0,2.9,0.3,3.4
06372,790,ほうれんそう 葉 冷凍 ゆで,26.0,3.7,0.5,3.8
06373,791,ほうれんそう 葉 冷凍 油いため,67.0,4.0,4.5,5.4
06270,792,ホースラディシュ 根茎 生,69.0,3.1,0.3,17.7
06271,793,まこも 茎 生,19.0,1.3,0.2,4.4
06272,794,みずかけな 葉 生,25.0,2.9,0.1,4.7
06273,795,みずかけな 塩漬,34.0,4.9,0.0,5.7
06072,796,みずな 葉 生,23.0,2.2,0.1,4.8
06073,797,みずな 葉 ゆで,21.0,2.0,0.1,4.7
06074,798,みずな 塩漬,26.0,2.0,0.1,5.9
06274,799,（みつば類） 切りみつば 葉 生,16.0,1.0,0.1,4.0
06275,800,（みつば類） 切りみつば 葉 ゆで,12.0,0.9,0.1,3.3
06276,801,（みつば類） 根みつば 葉 生,19.0,1.9,0.1,4.1
06277,802,（みつば類） 根みつば 葉 ゆで,19.0,2.3,0.1,3.9
06278,803,（みつば類） 糸みつば 葉 生,12.0,0.9,0.1,2.9
06279,804,（みつば類） 糸みつば 葉 ゆで,14.0,1.1,0.0,4.0
06360,805,みぶな 葉 生,14.0,1.1,0.3,2.9
06280,806,（みょうが類） みょうが 花穂 生,11.0,0.9,0.1,2.6
06281,807,（みょうが類） みょうがたけ 茎葉 生,6.0,0.4,0.1,1.5
06282,808,むかご 肉芽 生,87.0,2.9,0.2,20.6
06283,809,めキャベツ 結球葉 生,52.0,5.7,0.1,9.9
06284,810,めキャベツ 結球葉 ゆで,51.0,5.3,0.1,9.8
06285,811,めたで 芽ばえ 生,39.0,3.0,0.5,8.8
06286,812,（もやし類） アルファルファもやし 生,11.0,1.6,0.1,2.0
06287,813,（もやし類） だいずもやし 生,29.0,3.7,1.5,2.3
06288,814,（もやし類） だいずもやし ゆで,27.0,2.9,1.6,2.2
06289,815,（もやし類） ブラックマッペもやし 生,17.0,2.2,0.0,2.8
06290,816,（もやし類） ブラックマッペもやし ゆで,13.0,1.3,0.0,2.7
06398,817,（もやし類） ブラックマッペもやし 油いため,41.0,2.3,0.9,5.8
06291,818,（もやし類） りょくとうもやし 生,15.0,1.7,0.1,2.6
06292,819,（もやし類） りょくとうもやし ゆで,12.0,1.6,0.0,2.3
06293,820,モロヘイヤ 茎葉 生,36.0,4.8,0.5,6.3
06294,821,モロヘイヤ 茎葉 ゆで,24.0,3.0,0.4,4.0
06401,822,やぶまめ 生,219.0,15.5,6.5,29.5
06295,823,やまごぼう みそ漬,66.0,4.1,0.1,15.6
06296,824,ゆりね りん茎 生,119.0,3.8,0.1,28.3
06297,825,ゆりね りん茎 ゆで,117.0,3.4,0.1,28.7
06298,826,ようさい 茎葉 生,17.0,2.2,0.1,3.1
06299,827,ようさい 茎葉 ゆで,18.0,2.2,0.1,4.1
06300,828,よめな 葉 生,40.0,3.4,0.2,10.0
06301,829,よもぎ 葉 生,43.0,5.2,0.3,8.7
06302,830,よもぎ 葉 ゆで,37.0,4.8,0.1,8.2
06303,831,らっかせい 未熟豆 生,306.0,12.0,24.2,12.4
06304,832,らっかせい 未熟豆 ゆで,298.0,11.9,23.5,12.3
06305,833,（らっきょう類） らっきょう りん茎 生,83.0,1.4,0.2,29.3
06306,834,（らっきょう類） らっきょう 甘酢漬,117.0,0.4,0.3,29.4
06307,835,（らっきょう類） エシャレット りん茎 生,59.0,2.3,0.2,17.8
06308,836,リーキ りん茎葉 生,30.0,1.6,0.1,6.9
06309,837,リーキ りん茎葉 ゆで,28.0,1.3,0.1,6.8
06319,838,ルッコラ 葉 生,17.0,1.9,0.4,3.1
06310,839,ルバーブ 葉柄 生,23.0,0.7,0.1,6.0
06311,840,ルバーブ 葉柄 ゆで,14.0,0.5,0.1,4.6
06312,841,（レタス類） レタス 土耕栽培 結球葉 生,11.0,0.6,0.1,2.8
06361,842,（レタス類） レタス 水耕栽培 結球葉 生,13.0,0.8,0.2,2.9
06313,843,（レタス類） サラダな 葉 生,10.0,1.0,0.2,2.7
06314,844,（レタス類） リーフレタス 葉 生,16.0,1.4,0.1,3.3
06315,845,（レタス類） サニーレタス 葉 生,15.0,1.2,0.2,3.2
06362,846,（レタス類） サンチュ 葉 生,14.0,1.2,0.4,2.5
06316,847,（レタス類） コスレタス 葉 生,16.0,1.2,0.2,3.4
06317,848,れんこん 根茎 生,66.0,1.9,0.1,15.5
06318,849,れんこん 根茎 ゆで,66.0,1.3,0.1,16.1
06371,850,れんこん 甘酢れんこん,66.0,0.6,0.2,16.5
06320,851,わけぎ 葉 生,30.0,1.6,0.0,7.4
06321,852,わけぎ 葉 ゆで,29.0,1.9,0.0,6.9
06322,853,わさび 根茎 生,89.0,5.6,0.2,18.4
06323,854,わさび わさび漬,140.0,7.1,0.5,28.0
06324,855,わらび 生わらび 生,19.0,2.4,0.1,4.0
06325,856,わらび 生わらび ゆで,13.0,1.5,0.1,3.0
06326,857,わらび 干しわらび 乾,216.0,20.0,0.7,61.4
06382,858,（その他） ミックスベジタブル 冷凍,67.0,3.0,0.7,15.1
06383,859,（その他） ミックスベジタブル 冷凍 ゆで,65.0,3.1,0.8,14.6
06384,860,（その他） ミックスベジタブル 冷凍 油いため,108.0,3.3,4.9,15.7
06399,861,（その他） 野菜ミックスジュース 通常タイプ,21.0,0.8,0.1,4.7
06400,862,（その他） 野菜ミックスジュース 濃縮タイプ,36.0,1.0,0.3,7.8
07001,863,あけび 果肉 生,89.0,0.5,0.1,22.0
07002,864,あけび 果皮 生,32.0,0.3,0.3,8.6
07181,865,アサイー 冷凍 無糖,62.0,0.9,5.3,5.0
07003,866,アセロラ 酸味種 生,36.0,0.7,0.1,9.0
07159,867,アセロラ 甘味種 生,36.0,0.7,0.1,9.0
07004,868,アセロラ 果実飲料 10%果汁入り飲料,42.0,0.1,0.0,10.5
07005,869,アテモヤ 生,81.0,1.8,0.4,19.4
07006,870,アボカド 生,176.0,2.1,17.5,7.9
07007,871,あんず 生,37.0,1.0,0.3,8.5
07008,872,あんず 乾,296.0,9.2,0.4,70.4
07009,873,あんず 缶詰,79.0,0.5,0.4,18.9
07010,874,あんず ジャム 高糖度,252.0,0.3,0.1,64.9
07011,875,あんず ジャム 低糖度,202.0,0.4,0.1,50.5
07012,876,いちご 生,31.0,0.9,0.1,8.5
07013,877,いちご ジャム 高糖度,250.0,0.4,0.1,63.3
07014,878,いちご ジャム 低糖度,194.0,0.5,0.1,48.4
07160,879,いちご 乾,329.0,0.5,0.2,82.8
07015,880,いちじく 生,57.0,0.6,0.1,14.3
07016,881,いちじく 乾,272.0,3.0,1.1,75.3
07017,882,いちじく 缶詰,78.0,0.5,0.1,19.4
07019,883,うめ 生,33.0,0.7,0.5,7.9
07020,884,うめ 梅漬 塩漬,27.0,0.7,0.4,6.7
07021,885,うめ 梅漬 調味漬,45.0,1.5,0.5,10.5
07022,886,うめ 梅干し 塩漬,29.0,0.9,0.7,8.6
07023,887,うめ 梅干し 調味漬,90.0,1.5,0.6,21.1
07024,888,うめ 梅びしお,196.0,0.7,0.5,48.1
07025,889,うめ 果実飲料 20%果汁入り飲料,49.0,0.0,0.0,12.3
07037,890,オリーブ 塩漬 グリーンオリーブ,148.0,1.0,15.0,4.5
07038,891,オリーブ 塩漬 ブラックオリーブ,121.0,0.8,12.3,3.4
07039,892,オリーブ 塩漬 スタッフドオリーブ,141.0,0.8,14.3,4.2
07049,893,かき 甘がき 生,63.0,0.4,0.2,15.9
07050,894,かき 渋抜きがき 生,59.0,0.5,0.1,16.9
07051,895,かき 干しがき,274.0,1.5,1.7,71.3
07053,896,かりん 生,58.0,0.4,0.1,18.3
07018,897,（かんきつ類） いよかん 砂じょう 生,50.0,0.9,0.1,11.8
07026,898,（かんきつ類） うんしゅうみかん じょうのう 早生 生,49.0,0.5,0.1,11.9
07027,899,（かんきつ類） うんしゅうみかん じょうのう 普通 生,49.0,0.7,0.1,12.0
07028,900,（かんきつ類） うんしゅうみかん 砂じょう 早生 生,47.0,0.5,0.1,11.3
07029,901,（かんきつ類） うんしゅうみかん 砂じょう 普通 生,49.0,0.7,0.1,11.5
07030,902,（かんきつ類） うんしゅうみかん 果実飲料 ストレートジュース,45.0,0.5,0.1,10.6
07031,903,（かんきつ類） うんしゅうみかん 果実飲料 濃縮還元ジュース,42.0,0.5,0.1,9.9
07032,904,（かんきつ類） うんしゅうみかん 果実飲料 果粒入りジュース,53.0,0.2,0.0,13.0
07033,905,（かんきつ類） うんしゅうみかん 果実飲料 50%果汁入り飲料,59.0,0.2,0.0,14.7
07034,906,（かんきつ類） うんしゅうみかん 果実飲料 20%果汁入り飲料,50.0,0.1,0.0,12.4
07035,907,（かんきつ類） うんしゅうみかん 缶詰 果肉,63.0,0.5,0.1,15.3
07036,908,（かんきつ類） うんしゅうみかん 缶詰 液汁,63.0,0.3,0.1,15.3
07040,909,（かんきつ類） オレンジ ネーブル 砂じょう 生,48.0,0.9,0.1,11.8
07041,910,（かんきつ類） オレンジ バレンシア 米国産 砂じょう 生,42.0,1.0,0.1,9.8
07042,911,（かんきつ類） オレンジ バレンシア 果実飲料 ストレートジュース,45.0,0.8,0.0,11.0
07043,912,（かんきつ類） オレンジ バレンシア 果実飲料 濃縮還元ジュース,46.0,0.7,0.1,10.7
07044,913,（かんきつ類） オレンジ バレンシア 果実飲料 50%果汁入り飲料,46.0,0.4,0.2,10.8
07045,914,（かんきつ類） オレンジ バレンシア 果実飲料 30%果汁入り飲料,41.0,0.2,0.0,10.0
07046,915,（かんきつ類） オレンジ バレンシア マーマレード 高糖度,233.0,0.2,0.1,63.2
07047,916,（かんきつ類） オレンジ バレンシア マーマレード 低糖度,190.0,0.3,0.1,47.7
07161,917,（かんきつ類） オレンジ 福原オレンジ 砂じょう 生,43.0,1.0,0.1,9.8
07048,918,（かんきつ類） オロブランコ 砂じょう 生,43.0,0.8,0.1,10.1
07052,919,（かんきつ類） かぼす 果汁 生,36.0,0.4,0.1,8.5
07162,920,（かんきつ類） かわちばんかん 砂じょう 生,38.0,0.7,0.2,8.8
07163,921,（かんきつ類） きよみ 砂じょう 生,45.0,0.8,0.2,10.3
07056,922,（かんきつ類） きんかん 全果 生,67.0,0.5,0.7,17.5
07062,923,（かんきつ類） グレープフルーツ 白肉種 砂じょう 生,40.0,0.9,0.1,9.6
07164,924,（かんきつ類） グレープフルーツ 紅肉種 砂じょう 生,40.0,0.9,0.1,9.6
07063,925,（かんきつ類） グレープフルーツ 果実飲料 ストレートジュース,44.0,0.6,0.1,10.3
07064,926,（かんきつ類） グレープフルーツ 果実飲料 濃縮還元ジュース,38.0,0.7,0.1,8.8
07065,927,（かんきつ類） グレープフルーツ 果実飲料 50%果汁入り飲料,45.0,0.3,0.0,11.1
07066,928,（かんきつ類） グレープフルーツ 果実飲料 20%果汁入り飲料,39.0,0.1,0.0,9.7
07067,929,（かんきつ類） グレープフルーツ 缶詰,60.0,0.5,0.0,17.1
07074,930,（かんきつ類） さんぼうかん 砂じょう 生,47.0,0.7,0.3,10.9
07075,931,（かんきつ類） シークヮーサー 果汁 生,35.0,0.8,0.1,7.9
07076,932,（かんきつ類） シークヮーサー 果実飲料 10%果汁入り飲料,48.0,0.1,0.0,11.8
07165,933,（かんきつ類） しらぬひ 砂じょう 生,56.0,0.8,0.2,12.9
07078,934,（かんきつ類） すだち 果皮 生,55.0,1.8,0.3,16.4
07079,935,（かんきつ類） すだち 果汁 生,29.0,0.5,0.1,6.6
07166,936,（かんきつ類） せとか 砂じょう 生,50.0,0.8,0.2,11.7
07085,937,（かんきつ類） セミノール 砂じょう 生,53.0,1.1,0.1,12.4
07083,938,（かんきつ類） だいだい 果汁 生,35.0,0.3,0.2,8.0
07093,939,（かんきつ類） なつみかん 砂じょう 生,42.0,0.9,0.1,10.0
07094,940,（かんきつ類） なつみかん 缶詰,80.0,0.5,0.1,19.4
07105,941,（かんきつ類） はっさく 砂じょう 生,47.0,0.8,0.1,11.5
07167,942,（かんきつ類） はるみ 砂じょう 生,52.0,0.9,0.2,12.1
07112,943,（かんきつ類） ひゅうがなつ じょうのう及びアルベド 生,46.0,0.6,0.1,11.7
07113,944,（かんきつ類） ひゅうがなつ 砂じょう 生,35.0,0.6,0.1,8.3
07126,945,（かんきつ類） ぶんたん 砂じょう 生,41.0,0.7,0.1,9.8
07127,946,（かんきつ類） ぶんたん ざぼん漬,338.0,0.2,0.1,85.5
07129,947,（かんきつ類） ぽんかん 砂じょう 生,42.0,0.9,0.1,9.9
07142,948,（かんきつ類） ゆず 果皮 生,50.0,1.2,0.5,14.2
07143,949,（かんきつ類） ゆず 果汁 生,30.0,0.5,0.1,7.0
07145,950,（かんきつ類） ライム 果汁 生,39.0,0.4,0.1,9.3
07155,951,（かんきつ類） レモン 全果 生,43.0,0.9,0.7,12.5
07156,952,（かんきつ類） レモン 果汁 生,24.0,0.4,0.2,8.6
07054,953,キウイフルーツ 緑肉種 生,51.0,1.0,0.2,13.4
07168,954,キウイフルーツ 黄肉種 生,63.0,1.1,0.2,14.9
07183,955,きはだ 実 乾,378.0,7.3,9.8,65.1
07055,956,キワノ 生,41.0,1.5,0.9,8.0
07057,957,グァバ 赤肉種 生,33.0,0.6,0.1,9.9
07169,958,グァバ 白肉種 生,33.0,0.6,0.1,9.9
07058,959,グァバ 果実飲料 20%果汁入り飲料 （ネクター）,49.0,0.1,0.1,12.3
07059,960,グァバ 果実飲料 10%果汁入り飲料,50.0,0.1,0.1,12.3
07185,961,くこ 実 乾,387.0,12.3,4.1,75.3
07061,962,ぐみ 生,72.0,1.3,0.2,17.2
07157,963,ココナッツ ココナッツウォーター,22.0,0.2,0.1,5.0
07158,964,ココナッツ ココナッツミルク,157.0,1.9,16.0,2.8
07170,965,ココナッツ ナタデココ,80.0,0.0,0.0,20.2
07070,966,さくらんぼ 国産 生,64.0,1.0,0.2,15.2
07071,967,さくらんぼ 米国産 生,64.0,1.2,0.1,17.1
07072,968,さくらんぼ 米国産 缶詰,70.0,0.6,0.1,17.6
07073,969,ざくろ 生,63.0,0.2,0.0,15.5
07077,970,すいか 赤肉種 生,41.0,0.6,0.1,9.5
07171,971,すいか 黄肉種 生,41.0,0.6,0.1,9.5
07182,972,（すぐり類） カシス 冷凍,62.0,1.6,1.6,13.4
07060,973,（すぐり類） グーズベリー 生,51.0,1.0,0.1,13.2
07069,974,スターフルーツ 生,30.0,0.7,0.1,7.5
07080,975,（すもも類） にほんすもも 生,46.0,0.6,1.0,9.4
07081,976,（すもも類） プルーン 生,49.0,0.7,0.1,12.6
07082,977,（すもも類） プルーン 乾,211.0,2.4,0.2,62.3
