食品番号,索引番号,食品名,エネルギー（Kcal）,タンパク質,脂質,炭水化物
11040,1659,＜畜肉類＞ うし ［乳用肥育牛肉］ リブロース 皮下脂肪なし 生,351.0,15.0,33.4,0.2
11041,1660,＜畜肉類＞ うし ［乳用肥育牛肉］ リブロース 赤肉 生,230.0,18.8,17.8,0.3
11042,1661,＜畜肉類＞ うし ［乳用肥育牛肉］ リブロース 脂身 生,703.0,3.7,80.5,0.0
11043,1662,＜畜肉類＞ うし ［乳用肥育牛肉］ サーロイン 脂身つき 生,313.0,16.5,27.9,0.4
11044,1663,＜畜肉類＞ うし ［乳用肥育牛肉］ サーロイン 皮下脂肪なし 生,253.0,18.4,20.2,0.5
11045,1664,＜畜肉類＞ うし ［乳用肥育牛肉］ サーロイン 赤肉 生,167.0,21.1,9.1,0.6
11046,1665,＜畜肉類＞ うし ［乳用肥育牛肉］ ばら 脂身つき 生,381.0,12.8,39.4,0.3
11252,1666,＜畜肉類＞ うし ［乳用肥育牛肉］ ばら 脂身つき 焼き,451.0,15.9,44.2,0.3
11047,1667,＜畜肉類＞ うし ［乳用肥育牛肉］ もも 脂身つき 生,196.0,19.5,13.3,0.4
11048,1668,＜畜肉類＞ うし ［乳用肥育牛肉］ もも 皮下脂肪なし 生,169.0,20.5,9.9,0.4
11050,1669,＜畜肉類＞ うし ［乳用肥育牛肉］ もも 皮下脂肪なし ゆで,235.0,28.4,13.8,0.6
11049,1670,＜畜肉類＞ うし ［乳用肥育牛肉］ もも 皮下脂肪なし 焼き,227.0,28.0,13.2,0.6
11051,1671,＜畜肉類＞ うし ［乳用肥育牛肉］ もも 赤肉 生,130.0,21.9,4.9,0.4
11052,1672,＜畜肉類＞ うし ［乳用肥育牛肉］ もも 脂身 生,594.0,5.1,64.1,0.2
11053,1673,＜畜肉類＞ うし ［乳用肥育牛肉］ そともも 脂身つき 生,220.0,18.2,16.3,0.6
11054,1674,＜畜肉類＞ うし ［乳用肥育牛肉］ そともも 皮下脂肪なし 生,179.0,19.6,11.1,0.6
11055,1675,＜畜肉類＞ うし ［乳用肥育牛肉］ そともも 赤肉 生,131.0,21.3,5.0,0.7
11056,1676,＜畜肉類＞ うし ［乳用肥育牛肉］ ランプ 脂身つき 生,234.0,18.6,17.8,0.6
11057,1677,＜畜肉類＞ うし ［乳用肥育牛肉］ ランプ 皮下脂肪なし 生,203.0,19.7,13.9,0.6
11058,1678,＜畜肉類＞ うし ［乳用肥育牛肉］ ランプ 赤肉 生,142.0,22.0,6.1,0.7
11059,1679,＜畜肉類＞ うし ［乳用肥育牛肉］ ヒレ 赤肉 生,177.0,20.8,11.2,0.5
11253,1680,＜畜肉類＞ うし ［乳用肥育牛肉］ ヒレ 赤肉 焼き,238.0,27.2,15.2,0.4
11254,1681,＜畜肉類＞ うし ［交雑牛肉］ リブロース 脂身つき 生,489.0,12.0,51.8,0.3
11256,1682,＜畜肉類＞ うし ［交雑牛肉］ リブロース 脂身つき ゆで,540.0,13.2,56.5,0.1
11255,1683,＜畜肉類＞ うし ［交雑牛肉］ リブロース 脂身つき 焼き,575.0,14.5,60.1,0.2
11257,1684,＜畜肉類＞ うし ［交雑牛肉］ リブロース 皮下脂肪なし 生,438.0,13.6,45.2,0.3
11258,1685,＜畜肉類＞ うし ［交雑牛肉］ リブロース 赤肉 生,338.0,16.7,32.3,0.4
11259,1686,＜畜肉類＞ うし ［交雑牛肉］ リブロース 脂身 生,759.0,3.6,86.7,0.0
11260,1687,＜畜肉類＞ うし ［交雑牛肉］ ばら 脂身つき 生,445.0,12.2,44.4,0.3
11261,1688,＜畜肉類＞ うし ［交雑牛肉］ もも 脂身つき 生,312.0,16.4,28.9,0.4
11262,1689,＜畜肉類＞ うし ［交雑牛肉］ もも 皮下脂肪なし 生,250.0,18.3,21.6,0.4
11264,1690,＜畜肉類＞ うし ［交雑牛肉］ もも 皮下脂肪なし ゆで,331.0,25.7,28.2,0.2
11263,1691,＜畜肉類＞ うし ［交雑牛肉］ もも 皮下脂肪なし 焼き,313.0,25.0,27.6,0.5
11265,1692,＜畜肉類＞ うし ［交雑牛肉］ もも 赤肉 生,222.0,19.3,17.5,0.5
11266,1693,＜畜肉類＞ うし ［交雑牛肉］ もも 脂身 生,682.0,4.8,75.8,0.1
11267,1694,＜畜肉類＞ うし ［交雑牛肉］ ヒレ 赤肉 生,229.0,19.0,18.0,0.4
11060,1695,＜畜肉類＞ うし ［輸入牛肉］ かた 脂身つき 生,160.0,19.0,10.6,0.1
11061,1696,＜畜肉類＞ うし ［輸入牛肉］ かた 皮下脂肪なし 生,138.0,19.6,7.8,0.1
11062,1697,＜畜肉類＞ うし ［輸入牛肉］ かた 赤肉 生,114.0,20.4,4.6,0.1
11063,1698,＜畜肉類＞ うし ［輸入牛肉］ かた 脂身 生,537.0,7.1,60.5,0.0
11064,1699,＜畜肉類＞ うし ［輸入牛肉］ かたロース 脂身つき 生,221.0,17.9,17.4,0.1
11065,1700,＜畜肉類＞ うし ［輸入牛肉］ かたロース 皮下脂肪なし 生,219.0,18.0,17.1,0.1
11066,1701,＜畜肉類＞ うし ［輸入牛肉］ かたロース 赤肉 生,160.0,19.7,9.5,0.1
11067,1702,＜畜肉類＞ うし ［輸入牛肉］ リブロース 脂身つき 生,212.0,20.1,15.4,0.4
11269,1703,＜畜肉類＞ うし ［輸入牛肉］ リブロース 脂身つき ゆで,307.0,25.8,23.9,0.1
11268,1704,＜畜肉類＞ うし ［輸入牛肉］ リブロース 脂身つき 焼き,306.0,25.0,23.9,0.3
11068,1705,＜畜肉類＞ うし ［輸入牛肉］ リブロース 皮下脂肪なし 生,203.0,20.3,14.4,0.4
11069,1706,＜畜肉類＞ うし ［輸入牛肉］ リブロース 赤肉 生,163.0,21.7,9.1,0.4
11070,1707,＜畜肉類＞ うし ［輸入牛肉］ リブロース 脂身 生,653.0,5.7,73.1,0.1
11071,1708,＜畜肉類＞ うし ［輸入牛肉］ サーロイン 脂身つき 生,273.0,17.4,23.7,0.4
11072,1709,＜畜肉類＞ うし ［輸入牛肉］ サーロイン 皮下脂肪なし 生,218.0,19.1,16.5,0.4
11073,1710,＜畜肉類＞ うし ［輸入牛肉］ サーロイン 赤肉 生,127.0,22.0,4.4,0.5
11074,1711,＜畜肉類＞ うし ［輸入牛肉］ ばら 脂身つき 生,338.0,14.4,32.9,0.2
11075,1712,＜畜肉類＞ うし ［輸入牛肉］ もも 脂身つき 生,148.0,19.6,8.6,0.4
11076,1713,＜畜肉類＞ うし ［輸入牛肉］ もも 皮下脂肪なし 生,133.0,20.0,6.7,0.4
11271,1714,＜畜肉類＞ うし ［輸入牛肉］ もも 皮下脂肪なし ゆで,204.0,30.0,11.0,0.2
11270,1715,＜畜肉類＞ うし ［輸入牛肉］ もも 皮下脂肪なし 焼き,205.0,28.0,14.1,0.4
11077,1716,＜畜肉類＞ うし ［輸入牛肉］ もも 赤肉 生,117.0,21.2,4.3,0.4
11078,1717,＜畜肉類＞ うし ［輸入牛肉］ もも 脂身 生,580.0,6.3,64.4,0.2
11079,1718,＜畜肉類＞ うし ［輸入牛肉］ そともも 脂身つき 生,197.0,18.7,14.3,0.3
